Accession,Description,MW_kDa,Area_G1,Area_G2,Area_G3,PSM_G1,PSM_G2,PSM_G3,NormPSM_G1,NormPSM_G2,NormPSM_G3,AVERAGE_NormPSM,Functional_Category,Motif_Category
Asa5G00606.1,[translated] | NR=PREDICTED: uncharacterized protein LOC105044482 [Elaeis guineensis]; IPRSCAN=IPR007750 Protein of unknown function DUF674,51.8,956131362.738281,1049511973.98438,1284829112.36621,402.0,452.0,513.0,432.0473537604457,449.1197834125726,482.5358649789029,454.56766738397374,Other,Structural/Other
Asa5G00604.1,[translated] | NR=PREDICTED: uncharacterized protein LOC105035431 [Elaeis guineensis],54.1,342609118.875,418732270.3125,464254890.5625,385.0,431.0,491.0,413.7766945218199,428.2535987849973,461.8423191123613,434.62420413972615,Other,Structural/Other
Asa5G00608.1,"[translated] | GO=Cellular Component: protein kinase CK2 complex (GO:0005956),Molecular Function: protein kinase regulator activity (GO:0019887); NR=PREDICTED: casein kinase II subunit beta-like isoform X3 [Elaeis guineensis]; Swissprot=Casein kinase II subunit beta OS=Arabidopsis thaliana GN=CKB1 PE=1 SV=1; KEGG=casein kinase II subunit beta-like; K03115 casein kinase II subunit beta (A); IPRSCAN=IPR000704 Casein kinase II, regulatory subunit IPR000704 Casein kinase II, regulatory subunit IPR000704 Casein kinase II, regulatory subunit IPR000704 Casein kinase II, regulatory subunit IPR000704 Casein kinase II, regulatory subunit IPR000704 Casein kinase II, regulatory subunit IPR000704 Casein kinase II, regulatory subunit IPR000704 Casein kinase II, regulatory subunit",36.7,255963903.5,377562944.0,439143936.0,270.0,307.0,354.0,290.1810584958217,305.0437466983624,332.9779653070792,309.4009235004211,Other,Signaling/Hub
Asa2G00312.1,[translated],56.1,133834213.25,160143842.125,206429273.125,204.0,241.0,267.0,219.2479108635097,239.4643092974115,251.1443975621191,236.6188725743468,Other,Structural/Other
Asa5G05839.1,"[translated] | GO=Molecular Function: catalytic activity (GO:0003824),Molecular Function: D-arabinono-1,4-lactone oxidase activity (GO:0003885),Molecular Function: UDP-N-acetylmuramate dehydrogenase activity (GO:0008762),Cellular Component: membrane (GO:0016020),Molecular Function: oxidoreductase activity (GO:0016491),Molecular Function: oxidoreductase activity, acting on CH-OH group of donors (GO:0016614),Molecular Function: galactonolactone dehydrogenase activity (GO:0016633),Molecular Function: flavin adenine dinucleotide binding (GO:0050660),Biological Process: oxidation-reduction process (GO:0055114); NR=hypothetical_protein [Oryza brachyantha]; Swissprot=L-galactono-1,4-lactone dehydrogenase 2, mitochondrial OS=Oryza sativa subsp. japonica GN=GLDH2 PE=2 SV=1; KEGG=L-galactono-1,4-lactone dehydrogenase 2, mitochondrial; K00225 L-galactono-1,4-lactone dehydrogenase [EC:1.3.2.3] (A); IPRSCAN=IPR010029 Galactonolactone dehydrogenase NULL NULL IPR006094 FAD linked oxidase, N-terminal IPR007173 D-arabinono-1,4-lactone oxidase IPR016166 FAD-binding, type 2",32.5,251756733.984375,387506470.160156,399700401.197266,131.0,185.0,203.0,140.7915506035283,183.8211502905441,190.944991404907,171.85256409965982,Antioxidant,"Signaling/Hub, Antioxidant/Redox"
Asa0G00303.1,"[translated] | GO=Molecular Function: nutrient reservoir activity (GO:0045735); NR=PREDICTED: glutelin type-A 1-like [Musa acuminata subsp. malaccensis]; Swissprot=Glutelin type-A 1 OS=Oryza sativa subsp. japonica GN=GLUA1 PE=1 SV=2; IPRSCAN=IPR006045 Cupin 1 NULL NULL IPR006045 Cupin 1 IPR006044 11-S seed storage protein, plant IPR006044 11-S seed storage protein, plant IPR006044 11-S seed storage protein, plant IPR006044 11-S seed storage protein, plant IPR006044 11-S seed storage protein, plant IPR006044 11-S seed storage protein, plant",33.1,200157048.0,143750328.0,226071893.75,105.0,130.0,137.0,112.8481894150418,129.171619123085,128.8643538052821,123.62805411446963,Other,Structural/Other
Asa0G00743.1,[translated] | NR=PREDICTED: E3 ubiquitin-protein ligase ORTHRUS 2-like [Jatropha curcas]; Swissprot=E3 ubiquitin-protein ligase ORTHRUS 2 OS=Arabidopsis thaliana GN=ORTH2 PE=1 SV=1; KEGG=E3 ubiquitin-protein ligase ORTHRUS 2-like; K10638 E3 ubiquitin-protein ligase UHRF1 [EC:2.3.2.27] (A),16.6,0.0,43595.26171875,43414.8125,,122.0,128.0,-,121.2225964078183,120.3988123144241,120.8107043611212,Other,Structural/Other
Asa7G05851.1,"[translated] | GO=Molecular Function: protein binding (GO:0005515),Molecular Function: zinc ion binding (GO:0008270); NR=PREDICTED: uncharacterized protein LOC103720151 isoform X2 [Phoenix dactylifera]; Swissprot=E3 ubiquitin-protein ligase SDIR1 OS=Arabidopsis thaliana GN=SDIR1 PE=1 SV=1; KEGG=hypothetical protein; K19041 E3 ubiquitin-protein ligase RNF38/44 [EC:2.3.2.27] (A); IPRSCAN=IPR011016 Zinc finger, RING-CH-type IPR001841 Zinc finger, RING-type IPR001841 Zinc finger, RING-type NULL NULL NULL NULL IPR001841 Zinc finger, RING-type",59.4,122364970.75,132604817.8125,201653437.125,109.0,111.0,116.0,117.1471680594243,110.2926901743265,109.1114236599469,112.18376063123256,Other,"Signaling/Hub, Transcription Factor"
Asa6G00770.1,[translated] | NR=PREDICTED: heat shock cognate 70 kDa protein 2-like [Phoenix dactylifera]; Swissprot=Heat shock cognate 70 kDa protein OS=Petunia hybrida GN=HSP70 PE=2 SV=1; KEGG=heat shock cognate 70 kDa protein 2-like; K03283 heat shock 70kDa protein 1/8 (A); IPRSCAN=NULL NULL IPR013126 Heat shock protein 70 family IPR013126 Heat shock protein 70 family IPR013126 Heat shock protein 70 family IPR013126 Heat shock protein 70 family IPR013126 Heat shock protein 70 family IPR013126 Heat shock protein 70 family,59.5,37348161.0,39806713.5625,50256804.375,106.0,109.0,110.0,113.9229340761374,108.3054344955098,103.4677293327082,108.56536596811846,Anti-stress/HSP,Chaperone/HSP
Asa6G07863.1,[translated],193.1,25847924.9257813,30142945.375,30294688.6875,94.0,102.0,100.0,101.0259981429898,101.3500396196514,94.06157212064386,98.81253662776167,Other,Structural/Other
